Ticker,NumShares,Price,Value
PL, 1150,,
TSLA, 7,,
IWB, 5.116,,
PRBLX, 22.673,,
AMZN, 8,,
ABNB, 7,,
WILNX, 45.155,,
VTV, 5.202,,
IWR, 10.245,,
SPIR, 125,,
WGROX, 5.987,,
TTWO, 3,,
F, 22.279,,
FVRR, 10,,
LMND, 19,,
RIVN, 8,,
GOOGL, 1,,
PLUG, 15,,
LCID, 13,,
CENN, 105,,
